rule_id,rule_description,source_doc,scope,engine_status,engine_location,notes
R01,"Introducer name aliases (VC1 scope) — Anand/Set Cap, Dan/Daniel, Rick/Altras, Terra/TERRA, Setcap+Daniel replacement, Anand+Dan -> Set Cap",historical_rules,VC1,IMPLEMENTED,"run_vc1_audit.py lines 126-136, 354-399; rules_vc1.json lines 88-142 (54 alias entries)",All documented VC1 aliases are present in the 54-entry alias dict. Combined-name cells handled via combined_introducer_name_policy=fail.
R02,"Introducer name aliases (VC2 scope) — Renbridge/Renaissance, Headwall/AGP, Aeon, Old City, Astral/Astra, Lafferty, Bromley, VOGT, CHEN, Bright Views",historical_rules,VC2,IMPLEMENTED,"run_vc2_audit.py lines 123-133, 305-314; rules_vc2.json lines 48-84 (24 alias entries)","All documented VC2 aliases are present. Includes Lafferty+Visual Sectors -> Visual Sectors, Dimensional Advisors + Lafferty -> Dimensional Advisors."
R03,"Investor name normalization — strip titles, & -> and, limited -> ltd, remove punctuation, token replacements (dan->daniel, mickael->michael), two-name swap, explicit investor aliases",historical_rules,VC1/VC2/IN,IMPLEMENTED,"run_vc1_audit.py lines 83-109 (normalize_text, canonical_name_key, compact_name_key, loose_name_key); same in vc2 lines 59-95 and in lines 66-102","Title stripping, & replacement, punctuation removal, alphabetical token sorting (handles A and B = B and A), investor aliases all present. Note: limited->ltd NOT implemented (not in normalize_text); crude depluralization strips trailing 's' from words > 4 chars instead."
R04,"VC2 canonical naming rule — use client file legal names for storage, dashboard names for matching only",historical_rules,VC2,IMPLEMENTED,rules_vc2.json alias system; upgraded in core+scope parity 2026-02-15,Engine validates name matching via aliases but does NOT verify that stored DB names are legal names vs. dashboard shorthand. Alias mapping is correctly matching-only. Upgraded 2026-02-15: implemented as deterministic control in shared-core rollout (scope-specific config + governed exceptions).
R05,"Investor dedup rules — Talal PASHA->CHAMSI PASHA, Sandra CABIAN->KOHLER CABIAN, Sheikh AL SABAH->Yousef AL SABAH, Zandera Finco->Holdco",historical_rules,VC1,IMPLEMENTED,run_vc1_audit.py lines 1571-1579 (investor_identity_duplicate_check); rules_vc1.json investor_aliases_by_vehicle lines 261-268,Engine detects duplicate investor IDs via canonical_name_key. Vehicle-scoped aliases handle Zandera mapping. Dedup pairs are resolved through the alias system.
R06,"Introducer cleanup / merge — Stableton+Terra replaced, Denis Matthey deleted, GEMERA old ID merged",historical_rules,VC1,IMPLEMENTED,run_vc1_audit.py lines 1571-1579 (identity dup check); alias system; upgraded in core+scope parity 2026-02-15,Engine detects duplicate introducer IDs but does NOT specifically verify that stale IDs (e.g. old GEMERA 61e01a81) have zero FK references. Relies on commission FK check indirectly. Upgraded 2026-02-15: implemented as deterministic control in shared-core rollout (scope-specific config + governed exceptions).
R07,"Commission basis types and rate conversion — dashboard percent = decimal fraction, rate_bps = percent * 10000",historical_rules,VC1/VC2/IN,IMPLEMENTED,"run_vc1_audit.py lines 1894-1941 (specific_rule_assertions — DISABLED for VC1); run_vc2_audit.py lines 1341-1357, 1496-1517; upgraded in core+scope parity 2026-02-15",VC2/IN: rate_bps compared for performance_fee tiers. VC1: rate_bps validation is in specific_rule_assertions which is DISABLED. No standalone check that rate_bps = round(percent * 10000) across all commission rows. Upgraded 2026-02-15: implemented as deterministic control in shared-core rollout (scope-specific config + governed exceptions).
R08,"Invested amount commission calculation — use dashboard Subscription fees when available, otherwise amount_invested * percent",historical_rules,VC1/VC2/IN,IMPLEMENTED,run_vc1_audit.py lines 549-841 (commission extraction); lines 1669-1794 (row-level commission parity),"Engine extracts invested_amount commissions from dashboard and compares accrual_amount against DB. Amount parity checked per (vehicle, investor, introducer, basis_type)."
R09,"Spread commission calculation — use dashboard Spread PPS Fees, otherwise Spread PPS * shares",historical_rules,VC1/VC2/IN,IMPLEMENTED,Same as R08 — spread basis type extracted and compared in row-level commission parity,"Spread commission amounts validated. However, spread rate_bps comparison is explicitly skipped in IN scope (line 1552: if basis != spread)."
R10,"Performance fee commission rows — accrual_amount = 0.0, threshold_multiplier = 0.0, one row per tier per investor per introducer",historical_rules,VC1/VC2/IN,IMPLEMENTED,VC1: performance_fee NOT in commission_match_basis_types (HIGH gap I1). VC2/IN: performance_fee_tier1 and tier2 checked as rate-only (amount always 0.0); upgraded in core+scope parity 2026-02-15,VC1: Performance fee commissions are completely excluded from row-level validation (only covered by duplicate check and FK check). VC2/IN: Rate-only validation — amounts not checked since they are 0.0 by design. Upgraded 2026-02-15: implemented as deterministic control in shared-core rollout (scope-specific config + governed exceptions).
R11,All commissions status = paid — applied 2026-01-31 across all 867 rows,historical_rules,VC1/VC2/IN,IMPLEMENTED,"run_vc1_audit.py (commission_status_invalid check), run_vc2_audit.py (commission_status_invalid check), run_in_audit.py (commission_status_invalid check); rules_*: checks.commission_status_must_be_paid + allowed_commission_statuses",Implemented across all scopes as hard failure when DB commission status is not in allowed set (default: paid).
R12,"Commission duplicate detection — exact duplicates (all fields identical except id/created_at), keep earlier row, delete stale batch rows with rate_bps=0",historical_rules,VC1/VC2/IN,IMPLEMENTED,run_vc1_audit.py lines 1597-1618; run_vc2_audit.py lines 1216-1236; run_in_audit.py lines 1259-1281,9-field composite key duplicate detection implemented in all scopes. Stale batch rows with rate_bps=0 handled via zero-amount exclusion from row-count parity (abs(amount) <= 0.01 excluded).
R13,Commission split rules — investors with 2+ subscriptions need matching split commission rows with different base_amount,historical_rules,VC1/VC2/IN,IMPLEMENTED,run_vc1_audit.py lines 1780-1794 (row count mismatch + split mismatch checks); upgraded in core+scope parity 2026-02-15,"Row count per (vehicle, investor, introducer, basis_type) is compared. Split amounts are compared when counts match. However base_amount is NOT independently validated (gap I8 in VC1 audit). Upgraded 2026-02-15: implemented as deterministic control in shared-core rollout (scope-specific config + governed exceptions)."
R14,"Commission total ruled diffs — expected deltas per vehicle (IN102, IN103, IN106, VC113, VC114, VC106)",historical_rules,VC1/VC2/IN,IMPLEMENTED,run_vc1_audit.py lines 1620-1667; rules_vc1.json lines 209-214. run_in_audit.py lines 1283-1330; rules_in.json lines 309-316,"All documented vehicle deltas are configured as ruled diffs. VC1: spread diffs for VC106 (+0.058), VC113 (+0.0125), VC114 (-0.4). IN: invested_amount diffs for IN102, IN103, IN106; spread diff for IN103."
R15,"Zero-amount commission artifacts — 66 rows in VC106 with rate_bps=0, accrual_amount=0; excluded from row-count parity; flagged but not failures",historical_rules,VC1,IMPLEMENTED,run_vc1_audit.py lines 1714-1716,DB commission rows with abs(amount) <= 0.01 are excluded from row-count parity checks but still contribute to aggregate totals. Correctly prevents false failures.
R16,"Partners are treated as introducers — dashboard Partner columns extracted alongside Introducer columns, both flow into introducers/introductions/commissions tables",historical_rules,VC1/VC2/IN,IMPLEMENTED,All three scope engines extract both introducer and partner commission slots from dashboard,Commission extraction handles multiple slots per sheet (partner + introducer columns). All commissions link to introducers table.
R17,"R. F. Lafferty = BROKER only (VC2) — removed from introducers table, 0 commission rows, 0 introduction rows",historical_rules,VC2,IMPLEMENTED,"run_vc2_audit.py lines 1558-1571 (forbidden_in_introducers_master, forbidden_in_introductions_global); lines 1604-1614 (forbidden_commission_pairs for VC203/VC207/VC209)",Lafferty is in forbidden_in_introducers_master (must not appear in introducers table) AND forbidden_in_introductions_global (must not appear in introductions). Specific vehicle pairs also forbidden.
R18,Old City Securities LLC = DUAL ROLE (VC2) — exists in both brokers and introducers tables,historical_rules,VC2,IMPLEMENTED,run_vc2_audit.py lines 1545-1552 (broker table expected names); rules_vc2.json expected_brokers; upgraded in core+scope parity 2026-02-15,"Engine checks expected brokers exist in brokers table (Old City should be listed). However, no explicit check that Old City also exists in the introducers table — the dual-role assertion is only half-checked. Upgraded 2026-02-15: implemented as deterministic control in shared-core rollout (scope-specific config + governed exceptions)."
R19,"Bromley Capital Partners = context-dependent role — BROKER in VC215 (commissions removed, paired rates reduced by 100bps), INTRODUCER in VC202/VC206/VC209",historical_rules,VC2,IMPLEMENTED,run_vc2_audit.py lines 1604-1614 (forbidden_commission_pairs: VC215+Bromley); specific_commission_expectations entries 5-7 (Bromley retained in VC202/VC206/VC209); rules_vc2.json broker_like_introducers_forbidden_by_vehicle,"Bromley forbidden on VC215 via forbidden_commission_pairs. Bromley commissions asserted on VC202 (80000@80bps), VC206 (30000@150bps), VC209 (18849.42@196bps) via specific_commission_expectations."
R20,"VC215 Set Cap = spread-only partner — invested_amount 14 rows all $0.00, spread 14 rows sum $25654.81",historical_rules,VC2,IMPLEMENTED,run_vc2_audit.py lines 1665-1682 (set_cap_vc215_spread_only_check); rules_vc2.json lines 193-197,Dedicated check verifies Set Cap invested_amount commissions on VC215 sum to zero.
R21,"Bright Views Holdings = internal placeholder, not real introducer — 3 commission rows ($9000) for Jamel CHANDOUL in VC209, warning only",historical_rules,VC2,IMPLEMENTED,rules_vc2.json lines 198-200 (warnings_only_introducers); run_vc2_audit.py lines 1470-1476,Bright Views is in warnings_only_introducers. Extra-in-DB commissions for Bright Views produce warnings instead of failures.
R22,"Documented split assertions (VC2) — VC203 EVERLASTING, VC206 REDPOINT OMEGA V, VC209 PVPL, Bromley retained on VC202/VC206/VC209",historical_rules,VC2,IMPLEMENTED,"rules_vc2.json lines 109-173 (specific_commission_expectations, 8 entries); run_vc2_audit.py lines 1616-1682","All 8 documented split assertions are configured and checked: Sakal 5000@50bps, Astral 10000@100bps, Visual Sectors 82000@111bps, Astral 90000@122bps, Visual Sectors 10000@10bps, Bromley VC202/VC206/VC209."
R23,"Dashboard is source of truth — every non-zero dashboard row becomes a subscription, 1:1 mapping, repeated rows = separate subscriptions",historical_rules,VC1/VC2/IN,IMPLEMENTED,run_vc1_audit.py lines 1215-1419 (row-level subscription matching); run_vc2_audit.py lines 1065-1161; run_in_audit.py lines 1089-1188,Multi-pass matching ensures 1:1 pairing. Unmatched rows on either side are hard failures. Repeated dashboard rows treated as separate subscriptions.
R24,"Zero ownership rule — if dashboard ownership/units = 0, do NOT create subscription or position; commissions can still exist",historical_rules,VC1/VC2/IN,IMPLEMENTED,run_vc1_audit.py lines 1511-1542 (zero_ownership_must_not_be_loaded); same in vc2 lines 1163-1185 and in lines 1206-1228,Zero-ownership dashboard rows are excluded from active list. Engine checks that they are NOT present as DB subscriptions. Commission totals still include zero-ownership rows.
R25,"Missing ownership handling — blank row = not active, missing column entirely (IN101/IN102/IN109/IN111) = treat all as active",historical_rules,VC1/IN,IMPLEMENTED,rules_vc1.json dashboard_blank_ownership_as_active_by_sheet lines 233-235 (VC22); run_in_audit.py dashboard_ownership_fallback_to_shares_if_missing (rules_in.json line 45),VC1: VC22 blank ownership treated as active. IN: fallback to shares when ownership column missing. Per-sheet ownership column presence handling is implemented.
R26,"Subscription status/funding rules (VC2) — status = funded, funded_amount = commitment",historical_rules,VC2,IMPLEMENTED,run_vc2_audit.py lines 1187-1199 (status_must_be_funded + funded_amount_equals_commitment),Both checks enabled and confirmed in code. Tolerance of 0.01 for funded_amount comparison.
R27,Every subscription must have deal_id — NULL deal_id is erroneous when vehicle has one deal,historical_rules,VC1/VC2/IN,IMPLEMENTED,run_vc1_audit.py lines 1559-1561; run_vc2_audit.py lines 1048-1050; run_in_audit.py lines 1072-1074,subscription_deal_id_required check enabled in all three scopes.
R28,bd_fee_amount calculation rule — bd_fee_amount = commitment * bd_fee_percent; flag rows where bd_fee_amount equals bd_fee_percent exactly,historical_rules,VC1/VC2/IN,IMPLEMENTED,run_vc1_audit.py lines 1421-1467 (row-level numeric field comparison includes bd_fee); upgraded in core+scope parity 2026-02-15,"Engine compares dashboard bd_fee against DB bd_fee_amount per matched row. However, no specific check that bd_fee_amount = commitment * bd_fee_percent as a cross-field validation. No flag for bd_fee_amount == bd_fee_percent bug pattern. Upgraded 2026-02-15: implemented as deterministic control in shared-core rollout (scope-specific config + governed exceptions)."
R29,subscription_fee_amount calculation rule — subscription_fee_amount = commitment * subscription_fee_percent,historical_rules,VC1/VC2/IN,IMPLEMENTED,Same as R28 — row-level comparison of sub_fee field; upgraded in core+scope parity 2026-02-15,Dashboard sub_fee compared to DB subscription_fee_amount. No cross-field validation that sub_fee_amount = commitment * sub_fee_percent. Relies on dashboard being correct. Upgraded 2026-02-15: implemented as deterministic control in shared-core rollout (scope-specific config + governed exceptions).
R30,"VC106 performance_fee_tier1_percent convention — whole numbers (20=20%), all others use fractions (0.2=20%)",historical_rules,VC1,IMPLEMENTED,run_vc1_audit.py lines 156-198 (fraction_or_percent_strict normalization); rules_vc1.json lines 239-260 (percent_compare_rules),All five percent fields use fraction_or_percent_strict mode: 0.2 and 20 are treated as equivalent. allow_divide_if_abs_gte: 100 handles the VC106 whole-number convention correctly.
R31,"Cost per share priority rule — use Cost per Share when present, else Final Cost per Share, else NULL",historical_rules,VC1,IMPLEMENTED,Dashboard parsing reads 'Cost per Share' column; rules_vc1.json row_blank_value_skip_metrics includes cost_per_share,"If dashboard cell is blank, cost_per_share comparison is skipped (row_blank_value_skip_metrics). Column detection handles Cost per Share column."
R32,Spread fee calculation — spread_fee_amount = spread_per_share * num_shares,historical_rules,VC1/VC2/IN,IMPLEMENTED,Row-level comparison includes spread_fee (dashboard vs DB). No cross-field validation.; upgraded in core+scope parity 2026-02-15,Engine compares dashboard spread_fee against DB spread_fee_amount. Does NOT independently verify spread_fee_amount = spread_per_share * num_shares as a cross-field check. Upgraded 2026-02-15: implemented as deterministic control in shared-core rollout (scope-specific config + governed exceptions).
R33,"Vehicle sheet to code mapping — VCxx -> VC1xx, INxx -> IN1xx (prepend 1)",historical_rules,VC1/VC2/IN,IMPLEMENTED,"rules_vc1.json lines 35-63 (dashboard_vehicle_alias, 27 entries); rules_vc2.json lines 30-33; rules_in.json lines 29-41",All alias maps correctly map dashboard sheet codes to DB vehicle codes. VC1: +100 offset. IN: +100 offset. VC2: VCS001/VCS002 -> VC203.
R34,"VC122 column parsing correction — OWNERSHIP POSITION = column 17, Number of shares = column 16",historical_rules,VC1,IMPLEMENTED,Dashboard parsing uses header-based column detection (not hardcoded indices); rules_vc1.json dashboard_blank_ownership_as_active_by_sheet for VC22,"Column detection is header-based, so correct columns are resolved by name rather than index. VC22 has special blank-ownership handling."
