,,,,,,,,,,,
,Index,Opportunity,Vehicle,Initial Nominal,PPS Cost,Order date,Positions Dec 31 2023,Risk Level,Action 1,Action 2,Comments
,1,CRANS,VC1,100000,-,2020-07-05 00:00:00,repaid,,,,
,2,CRANS,VC1,250000,-,24/09/2021,repaid,,,,
,3,ISDC,VC2,3,0.001,20/09/2019,,,,,
,4,ISDC,VC2,150000,300,2019-07-12 00:00:00,,,,,
,5,ISDC,VC2,150000,300,28/02/2020,,,,,
,6,ISDC,VC2,150000,1,28/09/2020,,,,,
,7,NITRO,VC3,33217.5,0.043,2021-12-31 00:00:00,,,Equity Shuffle May 2023,"Commit USD 100,000",
,8,NITRO,VC3,75000,0.03959,2020-08-06 00:00:00,,,Equity Shuffle May 2023,"Commit USD 100,000",
,9,NITRO,VC3,10000,0.03959,2020-06-15 00:00:00,,,Equity Shuffle May 2023,"Commit USD 100,000",
,10,NITRO,VC3,30000,0.03959,2020-09-21 00:00:00,,,Equity Shuffle May 2023,"Commit USD 100,000",
,11,NITRO,VC3,60000,0.03959,2020-09-30 00:00:00,,,Equity Shuffle May 2023,"Commit USD 100,000",
,12,NITRO,VC3,75000.05,0.03959,2021-04-14 00:00:00,,,Equity Shuffle May 2023,"Commit USD 100,000",
,13,NITRO,VC3,106400,0.043,2021-01-09 00:00:00,,,Equity Shuffle May 2023,"Commit USD 100,000",
,14,NITRO,VC3,27000,0.043,2021-04-14 00:00:00,,,Equity Shuffle May 2023,"Commit USD 100,000",
,15,NITRO,VC3,50000,0.043,2021-11-11 00:00:00,,,Equity Shuffle May 2023,"Commit USD 100,000",
,16,NITRO,VC3,24989.9,0.03992,2019-05-13 00:00:00,,,Equity Shuffle May 2023,"Commit USD 100,000",
,17,NITRO,VC3,150000,1,2021-11-02 00:00:00,,,Equity Shuffle May 2023,"Commit USD 100,000",
,18,NITRO,VC3,150000,1,2022-06-14 00:00:00,,,Equity Shuffle May 2023,"Commit USD 100,000",
,19,VEGINVEST,VC6,82917,13.5,2021-02-05 00:00:00,,,,,
,20,VEGINVEST,VC6,2240,14,2021-03-03 00:00:00,,,,,
,21,VEGINVEST,VC6,349344,16,2021-03-03 00:00:00,,,,,
,22,VEGINVEST,VC6,34000,16,2021-03-03 00:00:00,,,,,
,23,CHRIS JONES,VC6,1360000,20,2021-03-19 00:00:00,,,,,
,24,VEGINVEST,VC6,74074,14,16/03/2021,,,,,
,25,VEGINVEST,VC6,434863,11.2,2021-02-09 00:00:00,,,,,
,26,VEGINVEST,VC6,234607,11.2,2021-02-09 00:00:00,,,,,
,27,VEGINVEST,VC6,70902,19.5,2021-02-09 00:00:00,,,,,
