investment_type,category,key_risk_drivers,risk_grade
Central bank reserves / sovereign cash (AAA),,"Counterparty, inflation erosion",A1
Money market funds (government-only),,"Interest rate, liquidity",A1
Money market funds (prime / corporate),,"Credit spread, liquidity stress",A2
Bank deposits (OECD banks),,"Bank solvency, bail-in",A2
Short-term T-Bills (OECD),,Rate risk,A1
Investment Type,,Key Risk Drivers,Risk Grade
Sovereign bonds (AAA–AA),,"Duration, fiscal",A1–A2
Sovereign bonds (BBB),,Debt sustainability,A3
Emerging market sovereign debt,,"FX, political risk",B
Investment-grade corporate bonds,,"Credit cycle, duration",A3
High-yield bonds,,Default risk,B–C
Distressed debt,,Recovery uncertainty,C–D
"Structured credit (ABS, CLO mezzanine)",,"Complexity, correlation",B–C
Investment Type,,Key Risk Drivers,Risk Grade
Developed market equities,,Market volatility,A4
Emerging market equities,,"FX, governance",B
Sector ETFs (cyclical sectors),,Sector concentration,B
Volatility products / leveraged ETFs,,Path dependency,C–D
Listed REITs,,Rate sensitivity,B
Investment Type,,Key Risk Drivers,Risk Grade
"Residential real estate (core, OECD)",,"Rates, liquidity",A3
Residential real estate (leveraged),,"Leverage, cycles",A4
"Commercial real estate – core (office, retail prime)",,Demand shifts,A4–B
Logistics / data centers,,Tenant concentration,A3
Hospitality / retail secondary,,Cyclicality,B–C
Real estate development,,Execution risk,C
Distressed real estate,,"Liquidity, legal",C–D
Investment Type,,Key Risk Drivers,Risk Grade
Private equity funds – buyout,,"Leverage, exit risk",B
Growth equity,,Valuation risk,B
Venture capital (early stage),,Failure probability,C–D
Venture capital (late stage),,"Liquidity, repricing",C
Fund-of-funds (PE/VC),,Layered fees,B
Co-investments,,Concentration,B–C
Investment Type,,Key Risk Drivers,Risk Grade
Core infrastructure (regulated utilities),,Regulatory risk,A3
Renewable energy (subsidy-backed),,Policy risk,A4
Transport infrastructure,,Demand elasticity,B
Natural resources / mining,,Commodity volatility,C
Timberland / farmland,,"Climate, liquidity",A4
Investment Type,,Key Risk Drivers,Risk Grade
Market-neutral hedge funds,,Model risk,A4
Global macro,,Event risk,B
Long/short equity,,Beta leakage,B
Event-driven,,Deal failure,B
CTA / trend-following,,Regime shifts,B
Investment Type,,Key Risk Drivers,Risk Grade
G10 FX (unleveraged),,Volatility,A4
EM FX,,Political / liquidity,B–C
Leveraged FX trading,,Margin risk,C–D
Gold,,Price volatility,A4
Industrial commodities,,Cyclicality,B
Cryptoassets (BTC/ETH),,"Volatility, regulation",D
Altcoins / DeFi,,"Counterparty, hacks",E
Investment Type,,Key Risk Drivers,Risk Grade
Structured notes (capital protected),,Issuer risk,A3
Structured notes (yield-enhanced),,Optionality risk,B
Trade finance (insured),,Counterparty,A3
Trade finance (uninsured),,Default risk,B–C
Litigation finance,,Binary outcomes,C
Special situations,,"Legal, timing",C–D
"A1–A3: Capital preservation, liquidity sleeves, regulatory capital efficiency",,,nan
A4–B: Core growth and income engines,,,nan
"C–E: Opportunistic, asymmetric, return-seeking capital only",,,nan
