sheet,metric,dashboard,db,export,db_minus_dashboard,export_minus_db,status
VC201,sub_count,1.0,1,1.0,0.0,0.0,OK
VC201,commitment,372237.5,372237.5,372237.5,0.0,0.0,OK
VC201,funded,372237.5,372237.5,372237.5,0.0,0.0,OK
VC201,shares,12408.0,12408.0,12408.0,0.0,0.0,OK
VC201,ownership_units,12408.0,12408.0,12408.0,0.0,0.0,OK
VC201,spread_fee,24816.0,24816.0,24816.0,0.0,0.0,OK
VC201,sub_fee,11512.5,11512.5,11512.5,0.0,0.0,OK
VC201,bd_fee,0.0,0.0,0.0,0.0,0.0,OK
VC201,finra_fee,0.0,0.0,0.0,0.0,0.0,OK
VC201,intro_invested,0.0,0.0,0.0,0.0,0.0,OK
VC201,intro_spread,0.0,0.0,0.0,0.0,0.0,OK
VC201,intro_perf,0.0,0.0,0.0,0.0,0.0,OK
VC202,sub_count,2.0,2,2.0,0.0,0.0,OK
VC202,commitment,14999751.16,14999751.16,14999751.16,0.0,0.0,OK
VC202,funded,14999751.16,14999751.16,14999751.16,0.0,0.0,OK
VC202,shares,12874.0,12874.0,12874.0,0.0,0.0,OK
VC202,ownership_units,12874.0,12874.0,12874.0,0.0,0.0,OK
VC202,spread_fee,3858224.08,3858224.08,3858224.08,0.0,-0.0,OK
VC202,sub_fee,324993.779,324993.779,324993.779,0.0,0.0,OK
VC202,bd_fee,0.0,0.0,0.0,0.0,0.0,OK
VC202,finra_fee,0.0,0.0,0.0,0.0,0.0,OK
VC202,intro_invested,105000.00423,105000.0,105000.0,-0.00423,0.0,OK
VC202,intro_spread,0.0,0.0,0.0,0.0,0.0,OK
VC202,intro_perf,0.0,0.0,0.0,0.0,0.0,OK
VC203,sub_count,19.0,19,19.0,0.0,0.0,OK
VC203,commitment,25636509.24,25636509.24,25636509.24,-0.0,0.0,OK
VC203,funded,25636509.24,25636509.24,25636509.24,-0.0,0.0,OK
VC203,shares,618538.0,618538.0,618538.0,0.0,0.0,OK
VC203,ownership_units,618538.0,618538.0,618538.0,0.0,0.0,OK
VC203,spread_fee,4283297.81,4283297.81,4283297.81,0.0,0.0,OK
VC203,sub_fee,75235.27,75235.27,75235.27,0.0,0.0,OK
VC203,bd_fee,0.0,0.0,0.0,0.0,0.0,OK
VC203,finra_fee,400805.45,400805.45,400805.45,-0.0,0.0,OK
VC203,intro_invested,451042.3026,451042.29,451042.29,-0.0126,0.0,OK
VC203,intro_spread,0.0,0.0,0.0,0.0,0.0,OK
VC203,intro_perf,0.0,0.0,0.0,0.0,0.0,OK
VC206,sub_count,11.0,11,11.0,0.0,0.0,OK
VC206,commitment,14305532.5,14305532.5,14305532.5,0.0,0.0,OK
VC206,funded,14305532.5,14305532.5,14305532.5,0.0,0.0,OK
VC206,shares,29052.0,29052.0,29052.0,0.0,0.0,OK
VC206,ownership_units,29052.0,29052.0,29052.0,0.0,0.0,OK
VC206,spread_fee,1651768.5,1651768.5,1651768.5,0.0,0.0,OK
VC206,sub_fee,116680.575,116680.575,116680.575,0.0,0.0,OK
VC206,bd_fee,2500.0,2500.0,2500.0,0.0,0.0,OK
VC206,finra_fee,0.0,0.0,0.0,0.0,0.0,OK
VC206,intro_invested,473766.5375,473766.53,473766.53,-0.0075,0.0,OK
