row,series,introducer_1,intro_match,intro_score,intro_method
12,VC203,"Sakal Advisory, LLC",Sakal Advisory + Astra Global,0.7556,fuzzy
14,VC203,Astral Global Limited,Astra Global,0.7273,fuzzy
15,VC203,Old City Securities LLC,Rainmaker Securities,0.5581,fuzzy
17,VC203,Astral Global Limited,Astra Global,0.7273,fuzzy
20,VC203,Old City Securities LLC,Rainmaker Securities,0.5581,fuzzy
44,VC206,Astral Global Limited,Astra Global,0.7273,fuzzy
92,VC209,Rubix Holdings Limited,Robin Doble,0.4242,fuzzy
104,VC215,Infinyte Club Private Limited,Alliance Global Partners LLC,0.4561,fuzzy
105,VC215,Infinyte Club Private Limited,Alliance Global Partners LLC,0.4561,fuzzy
106,VC215,Infinyte Club Private Limited,Alliance Global Partners LLC,0.4561,fuzzy
107,VC215,Infinyte Club Private Limited,Alliance Global Partners LLC,0.4561,fuzzy
109,VC215,Infinyte Club Private Limited,Alliance Global Partners LLC,0.4561,fuzzy
110,VC215,Set Cap,Gestio Capital,0.5714,fuzzy
111,VC215,Set Cap,Gestio Capital,0.5714,fuzzy
117,VC215,Hottinger AG,TERRA,0.4706,fuzzy
123,,Old City Securities LLC,Rainmaker Securities,0.5581,fuzzy
