key	value
DEAL_ID	/versotech_main/deals/d52d0d1c-e2e0-438c-9798-b9eb3a847638
ENTITY_ID	
INTRODUCER_AGREEMENT_ID	
PLACEMENT_AGREEMENT_ID	
PORTFOLIO_ID	
SUBSCRIPTION_ID	/versotech_main/subscriptions/9693e081-93d7-4c4c-8cee-4c63e466894b
USER_ID	
INVESTOR_ID	
INTRODUCER_ID	/versotech_main/introducers/3a2dc66e-4e4f-42a0-a29b-ed80010e4e6c
ARRANGER_ID	
PARTNER_ID	
COMMERCIAL_PARTNER_ID	
LAWYER_ID	
OPPORTUNITY_ID	
RECONCILIATION_ID	
MANDATE_ID	/versotech_main/my-mandates/d52d0d1c-e2e0-438c-9798-b9eb3a847638
ADMIN_USER_ID	/versotech_admin/users/6030ceab-1513-4ca1-be3c-caf58953612c
